,Date,Type,Value,Month,Year
32,Abril/2019,Hotelaria,296248,Abril,2019
33,Março/2019,Hotelaria,221262,Março,2019
34,Fevereiro/2019,Hotelaria,154218,Fevereiro,2019
35,Janeiro/2019,Hotelaria,147486,Janeiro,2019
36,Dezembro/2018,Hotelaria,167658,Dezembro,2018
37,Novembro/2018,Hotelaria,187030,Novembro,2018
38,Outubro/2018,Hotelaria,330876,Outubro,2018
39,Setembro/2018,Hotelaria,417982,Setembro,2018
40,Agosto/2018,Hotelaria,522369,Agosto,2018
41,Julho/2018,Hotelaria,451291,Julho,2018
42,Junho/2018,Hotelaria,375782,Junho,2018
43,Maio/2018,Hotelaria,342261,Maio,2018
44,Abril/2018,Hotelaria,273248,Abril,2018
45,Março/2018,Hotelaria,218176,Março,2018
46,Fevereiro/2018,Hotelaria,148204,Fevereiro,2018
47,Janeiro/2018,Hotelaria,134908,Janeiro,2018
48,Dezembro/2017,Hotelaria,155206,Dezembro,2017
49,Novembro/2017,Hotelaria,173792,Novembro,2017
50,Outubro/2017,Hotelaria,317114,Outubro,2017
51,Setembro/2017,Hotelaria,407097,Setembro,2017
52,Agosto/2017,Hotelaria,494703,Agosto,2017
53,Julho/2017,Hotelaria,421925,Julho,2017
54,Junho/2017,Hotelaria,343552,Junho,2017
55,Maio/2017,Hotelaria,309368,Maio,2017
56,Abril/2017,Hotelaria,263848,Abril,2017
57,Março/2017,Hotelaria,183515,Março,2017
58,Fevereiro/2017,Hotelaria,133906,Fevereiro,2017
59,Janeiro/2017,Hotelaria,119518,Janeiro,2017
60,Dezembro/2021,Alojamento local,13590,Dezembro,2021
61,Novembro/2021,Alojamento local,17907,Novembro,2021
62,Outubro/2021,Alojamento local,26695,Outubro,2021
63,Setembro/2021,Alojamento local,29753,Setembro,2021
64,Agosto/2021,Alojamento local,43631,Agosto,2021
65,Julho/2021,Alojamento local,25185,Julho,2021
66,Junho/2021,Alojamento local,17789,Junho,2021
67,Maio/2021,Alojamento local,10274,Maio,2021
68,Abril/2021,Alojamento local,5104,Abril,2021
69,Março/2021,Alojamento local,3401,Março,2021
70,Fevereiro/2021,Alojamento local,2718,Fevereiro,2021
71,Janeiro/2021,Alojamento local,3727,Janeiro,2021
72,Dezembro/2020,Alojamento local,4933,Dezembro,2020
73,Novembro/2020,Alojamento local,4769,Novembro,2020
74,Outubro/2020,Alojamento local,10326,Outubro,2020
75,Setembro/2020,Alojamento local,16374,Setembro,2020
76,Agosto/2020,Alojamento local,27571,Agosto,2020
77,Julho/2020,Alojamento local,13690,Julho,2020
78,Junho/2020,Alojamento local,5714,Junho,2020
79,Maio/2020,Alojamento local,1782,Maio,2020
80,Abril/2020,Alojamento local,865,Abril,2020
81,Março/2020,Alojamento local,8117,Março,2020
82,Fevereiro/2020,Alojamento local,14675,Fevereiro,2020
83,Janeiro/2020,Alojamento local,13531,Janeiro,2020
84,Dezembro/2019,Alojamento local,18567,Dezembro,2019
85,Novembro/2019,Alojamento local,19784,Novembro,2019
86,Outubro/2019,Alojamento local,33093,Outubro,2019
87,Setembro/2019,Alojamento local,44758,Setembro,2019
88,Agosto/2019,Alojamento local,60231,Agosto,2019
89,Julho/2019,Alojamento local,49446,Julho,2019
90,Junho/2019,Alojamento local,40376,Junho,2019
91,Maio/2019,Alojamento local,35590,Maio,2019
92,Abril/2019,Alojamento local,29655,Abril,2019
93,Março/2019,Alojamento local,21195,Março,2019
94,Fevereiro/2019,Alojamento local,14802,Fevereiro,2019
95,Janeiro/2019,Alojamento local,14139,Janeiro,2019
96,Dezembro/2018,Alojamento local,15396,Dezembro,2018
97,Novembro/2018,Alojamento local,16717,Novembro,2018
98,Outubro/2018,Alojamento local,28364,Outubro,2018
99,Setembro/2018,Alojamento local,36719,Setembro,2018
100,Agosto/2018,Alojamento local,49634,Agosto,2018
101,Julho/2018,Alojamento local,40513,Julho,2018
102,Junho/2018,Alojamento local,30769,Junho,2018
103,Maio/2018,Alojamento local,28495,Maio,2018
104,Abril/2018,Alojamento local,23028,Abril,2018
105,Março/2018,Alojamento local,18094,Março,2018
106,Fevereiro/2018,Alojamento local,12867,Fevereiro,2018
107,Janeiro/2018,Alojamento local,12275,Janeiro,2018
108,Dezembro/2017,Alojamento local,14069,Dezembro,2017
109,Novembro/2017,Alojamento local,14677,Novembro,2017
110,Outubro/2017,Alojamento local,25277,Outubro,2017
111,Setembro/2017,Alojamento local,31723,Setembro,2017
112,Agosto/2017,Alojamento local,41280,Agosto,2017
113,Julho/2017,Alojamento local,33761,Julho,2017
114,Junho/2017,Alojamento local,26502,Junho,2017
115,Maio/2017,Alojamento local,22400,Maio,2017
116,Abril/2017,Alojamento local,19442,Abril,2017
117,Março/2017,Alojamento local,13571,Março,2017
118,Fevereiro/2017,Alojamento local,10369,Fevereiro,2017
119,Janeiro/2017,Alojamento local,9882,Janeiro,2017
120,Dezembro/2021,Turismo no espaço rural e de habitação,6645,Dezembro,2021
121,Novembro/2021,Turismo no espaço rural e de habitação,7939,Novembro,2021
122,Outubro/2021,Turismo no espaço rural e de habitação,13929,Outubro,2021
123,Setembro/2021,Turismo no espaço rural e de habitação,18075,Setembro,2021
124,Agosto/2021,Turismo no espaço rural e de habitação,30838,Agosto,2021
125,Julho/2021,Turismo no espaço rural e de habitação,19392,Julho,2021
126,Junho/2021,Turismo no espaço rural e de habitação,13570,Junho,2021
127,Maio/2021,Turismo no espaço rural e de habitação,8979,Maio,2021
128,Abril/2021,Turismo no espaço rural e de habitação,4030,Abril,2021
129,Março/2021,Turismo no espaço rural e de habitação,1723,Março,2021
130,Fevereiro/2021,Turismo no espaço rural e de habitação,905,Fevereiro,2021
131,Janeiro/2021,Turismo no espaço rural e de habitação,1577,Janeiro,2021
132,Dezembro/2020,Turismo no espaço rural e de habitação,3121,Dezembro,2020
133,Novembro/2020,Turismo no espaço rural e de habitação,2481,Novembro,2020
134,Outubro/2020,Turismo no espaço rural e de habitação,7594,Outubro,2020
135,Setembro/2020,Turismo no espaço rural e de habitação,13517,Setembro,2020
136,Agosto/2020,Turismo no espaço rural e de habitação,23893,Agosto,2020
137,Julho/2020,Turismo no espaço rural e de habitação,13894,Julho,2020
138,Junho/2020,Turismo no espaço rural e de habitação,6333,Junho,2020
139,Maio/2020,Turismo no espaço rural e de habitação,906,Maio,2020
140,Abril/2020,Turismo no espaço rural e de habitação,192,Abril,2020
141,Março/2020,Turismo no espaço rural e de habitação,2437,Março,2020
142,Fevereiro/2020,Turismo no espaço rural e de habitação,5113,Fevereiro,2020
143,Janeiro/2020,Turismo no espaço rural e de habitação,3727,Janeiro,2020
144,Dezembro/2019,Turismo no espaço rural e de habitação,5346,Dezembro,2019
145,Novembro/2019,Turismo no espaço rural e de habitação,5451,Novembro,2019
146,Outubro/2019,Turismo no espaço rural e de habitação,9600,Outubro,2019
147,Setembro/2019,Turismo no espaço rural e de habitação,14740,Setembro,2019
148,Agosto/2019,Turismo no espaço rural e de habitação,23238,Agosto,2019
149,Julho/2019,Turismo no espaço rural e de habitação,16085,Julho,2019
150,Junho/2019,Turismo no espaço rural e de habitação,12520,Junho,2019
151,Maio/2019,Turismo no espaço rural e de habitação,9886,Maio,2019
152,Abril/2019,Turismo no espaço rural e de habitação,9027,Abril,2019
153,Março/2019,Turismo no espaço rural e de habitação,5787,Março,2019
154,Fevereiro/2019,Turismo no espaço rural e de habitação,3713,Fevereiro,2019
155,Janeiro/2019,Turismo no espaço rural e de habitação,3319,Janeiro,2019
156,Dezembro/2018,Turismo no espaço rural e de habitação,4613,Dezembro,2018
157,Novembro/2018,Turismo no espaço rural e de habitação,4652,Novembro,2018
158,Outubro/2018,Turismo no espaço rural e de habitação,8881,Outubro,2018
159,Setembro/2018,Turismo no espaço rural e de habitação,12814,Setembro,2018
160,Agosto/2018,Turismo no espaço rural e de habitação,20249,Agosto,2018
161,Julho/2018,Turismo no espaço rural e de habitação,14500,Julho,2018
162,Junho/2018,Turismo no espaço rural e de habitação,10242,Junho,2018
163,Maio/2018,Turismo no espaço rural e de habitação,9197,Maio,2018
164,Abril/2018,Turismo no espaço rural e de habitação,7174,Abril,2018
165,Março/2018,Turismo no espaço rural e de habitação,4949,Março,2018
166,Fevereiro/2018,Turismo no espaço rural e de habitação,3659,Fevereiro,2018
167,Janeiro/2018,Turismo no espaço rural e de habitação,2968,Janeiro,2018
168,Dezembro/2017,Turismo no espaço rural e de habitação,4670,Dezembro,2017
169,Novembro/2017,Turismo no espaço rural e de habitação,3913,Novembro,2017
170,Outubro/2017,Turismo no espaço rural e de habitação,8395,Outubro,2017
171,Setembro/2017,Turismo no espaço rural e de habitação,11902,Setembro,2017
172,Agosto/2017,Turismo no espaço rural e de habitação,19308,Agosto,2017
173,Julho/2017,Turismo no espaço rural e de habitação,13140,Julho,2017
174,Junho/2017,Turismo no espaço rural e de habitação,9086,Junho,2017
175,Maio/2017,Turismo no espaço rural e de habitação,7713,Maio,2017
176,Abril/2017,Turismo no espaço rural e de habitação,7305,Abril,2017
177,Março/2017,Turismo no espaço rural e de habitação,3765,Março,2017
178,Fevereiro/2017,Turismo no espaço rural e de habitação,2981,Fevereiro,2017
179,Janeiro/2017,Turismo no espaço rural e de habitação,2533,Janeiro,2017
