,Type,Date,Value
164,Turismo no espaço rural e de habitação,Abril de 2018,7174
165,Turismo no espaço rural e de habitação,Março de 2018,4949
166,Turismo no espaço rural e de habitação,Fevereiro de 2018,3659
167,Turismo no espaço rural e de habitação,Janeiro de 2018,2968
168,Turismo no espaço rural e de habitação,Dezembro de 2017,4670
169,Turismo no espaço rural e de habitação,Novembro de 2017,3913
170,Turismo no espaço rural e de habitação,Outubro de 2017,8395
171,Turismo no espaço rural e de habitação,Setembro de 2017,11902
172,Turismo no espaço rural e de habitação,Agosto de 2017,19308
173,Turismo no espaço rural e de habitação,Julho de 2017,13140
174,Turismo no espaço rural e de habitação,Junho de 2017,9086
175,Turismo no espaço rural e de habitação,Maio de 2017,7713
176,Turismo no espaço rural e de habitação,Abril de 2017,7305
177,Turismo no espaço rural e de habitação,Março de 2017,3765
178,Turismo no espaço rural e de habitação,Fevereiro de 2017,2981
179,Turismo no espaço rural e de habitação,Janeiro de 2017,2533
